generated_at,tenant,page_name,total_reels,total_news,total_reel_reactions,total_reel_comments,total_reel_shares,total_reel_engagements,total_reel_views,reel_views_available,avg_views_per_reel,total_news_reactions,total_news_comments,total_news_shares,total_news_engagements,total_page_engagements,total_page_views,total_page_interactions,best_reel_id,best_reel_engagements,best_news_id,best_news_engagements
2026-06-04T08:45:06.530119+00:00,viral,Concrete Horizons,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,
2026-06-04T19:22:58.783186+00:00,viral,Concrete Horizons,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,
2026-06-05T08:41:39.928820+00:00,viral,Concrete Horizons,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,
2026-06-05T18:57:14.784049+00:00,viral,Concrete Horizons,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,
2026-06-06T07:44:19.947973+00:00,viral,Concrete Horizons,4,2,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-06T18:04:21.902831+00:00,viral,Concrete Horizons,9,3,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-07T08:21:45.018747+00:00,viral,Concrete Horizons,14,4,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-07T18:02:35.656195+00:00,viral,Concrete Horizons,16,5,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-08T09:21:01.648972+00:00,viral,Concrete Horizons,22,7,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-08T17:15:50.398045+00:00,viral,Concrete Horizons,26,8,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-08T19:21:18.527279+00:00,viral,Concrete Horizons,26,9,0,0,0,0,,0,,0,0,0,0,0,0,0,1360317219490643,0,1078373508702862_122107025523339459,0
2026-06-09T08:29:11.022679+00:00,viral,Concrete Horizons,32,48,0,0,0,0,,0,,3,0,0,3,3,0,3,1360317219490643,0,1078373508702862_122107992693339459,1
2026-06-09T19:12:14.606317+00:00,viral,Concrete Horizons,36,50,0,0,0,0,,0,,3,0,0,3,3,0,3,1360317219490643,0,1078373508702862_122107992693339459,1
